Geo Point;Geo Shape;Behinderte Grad;Kategorie;Bezeichnung;Zusatz;Adressezusatz;Firma;Vorname;Name;Adresse;Ort;Land;Öffnungszeiten;Information;Behinderte Info;Telefon;Mobil;Fax;PLZ
47.40925754716589,9.362897698635045;"{""coordinates"": [9.362897698635045, 47.40925754716589], ""type"": ""Point""}";unbekannt;Kindergärten;Kindergarten Guggerstrasse;;;;;;Guggerstrasse 8;St.Gallen;Schweiz;;;;+41714992238;;;9012
47.40166031731929,9.300475715903563;"{""coordinates"": [9.300475715903563, 47.40166031731929], ""type"": ""Point""}";unbekannt;Kindergärten;Kindergarten Herisauer Strasse 88a;;;;;;Herisauer Strasse 88a;St.Gallen;Schweiz;;;;+41714992177;;;9015
47.40342469091043,9.326547752923837;"{""coordinates"": [9.326547752923837, 47.40342469091043], ""type"": ""Point""}";unbekannt;Kindergärten;Kindergarten Hinterberg I;;;;;;Hinterberg 61;St.Gallen;Schweiz;;;;+41714992016;;;9014
47.40351462153536,9.314875299594604;"{""coordinates"": [9.314875299594604, 47.40351462153536], ""type"": ""Point""}";unbekannt;Kindergärten;Kindergarten Koblerstrasse;;;;;;Koblerstrasse 19;St.Gallen;Schweiz;;;;+41714992175;;;9015
47.42639455089094,9.363243561765955;"{""coordinates"": [9.363243561765955, 47.42639455089094], ""type"": ""Point""}";unbekannt;Kindergärten;Kindergarten Dietlistrasse;;;;;;Dietlistrasse 41;St.Gallen;Schweiz;;;;+41714992246;;;9000
47.418336212735895,9.381841494945679;"{""coordinates"": [9.381841494945679, 47.418336212735895], ""type"": ""Point""}";unbekannt;Kindergärten;Kindergarten Hebelstrasse;;;;;;Hebelstrasse 8;St.Gallen;Schweiz;;;;+41714992198;;;9000
47.42055731042134,9.352014151160486;"{""coordinates"": [9.352014151160486, 47.42055731042134], ""type"": ""Point""}";unbekannt;Kindergärten;Kindergarten Isenringweg;;;;;;Isenringweg 7;St.Gallen;Schweiz;;;;+41714992247;;;9000
47.42568827631028,9.384171839744278;"{""coordinates"": [9.384171839744278, 47.42568827631028], ""type"": ""Point""}";unbekannt;Kindergärten;Kindergarten Konkordiastrasse;;;;;;Konkordiastrasse 18;St.Gallen;Schweiz;;;;+41714992254;;;9000
47.43048469118142,9.390863782194035;"{""coordinates"": [9.390863782194035, 47.43048469118142], ""type"": ""Point""}";unbekannt;Kindergärten;Kindergarten Rorschacher Strasse;;;;;;Rorschacher Strasse 107;St.Gallen;Schweiz;;;;+41714992191;;;9000
47.43650020488017,9.375405256719766;"{""coordinates"": [9.375405256719766, 47.43650020488017], ""type"": ""Point""}";unbekannt;Kindergärten;Kindergarten Waldgutstrasse 6a I;;;;;;Waldgutstrasse 6a;St.Gallen;Schweiz;;;;+41714992217;;;9010
47.42356713994192,9.378938673486678;"{""coordinates"": [9.378938673486678, 47.42356713994192], ""type"": ""Point""}";nicht behindertengerecht;Historische Objekte;Karlstor;;;;;;Klosterhof 10;St.Gallen;Schweiz;;;;;;;9000
47.42713604316486,9.377343202771431;"{""coordinates"": [9.377343202771431, 47.42713604316486], ""type"": ""Point""}";bedingt behindertengerecht;Historische Objekte;St. Katharinen;;;;;;Katharinengasse 11;St.Gallen;Schweiz;;;;+41712235623;;;9000
47.42638783905828,9.369603230521735;"{""coordinates"": [9.369603230521735, 47.42638783905828], ""type"": ""Point""}";;Religiöse Bauten;Christuskirche;;Pfarramt;;;;Dufourstrasse 77;St.Gallen;Schweiz;;;;+41712228565;;;9000
47.42861036261436,9.376474968880524;"{""coordinates"": [9.376474968880524, 47.42861036261436], ""type"": ""Point""}";;Religiöse Bauten;Kirche St.Gallen (offene Kirche);;;;;;Böcklinstrasse 2;St.Gallen;Schweiz;;;;+41712784969;;;9000
47.42314117568913,9.375639242134518;"{""coordinates"": [9.375639242134518, 47.42314117568913], ""type"": ""Point""}";;Restaurant;Klosterhof;;;;;;Bankgasse 16;St.Gallen;Schweiz;;;;;;;9000
47.42715824572609,9.376941759079616;"{""coordinates"": [9.376941759079616, 47.42715824572609], ""type"": ""Point""}";;Religiöse Bauten;Französische Kirche;;;;;;Katharinengasse 15;St.Gallen;Schweiz;;;;+41712301740;;;9000
47.41524135185153,9.347122042324274;"{""coordinates"": [9.347122042324274, 47.41524135185153], ""type"": ""Point""}";;Religiöse Bauten;Kapelle Burgweiherweg (Maria Einsiedeln);;;;;;Burgweiherweg 33;St.Gallen;Schweiz;;;;;;;9000
47.423823976267826,9.376900078486884;"{""coordinates"": [9.376900078486884, 47.423823976267826], ""type"": ""Point""}";nicht behindertengerecht;Religiöse Bauten;Kinder- oder Schutzengelkapelle;;;;;;Klosterhof 2;St.Gallen;Schweiz;;;"Neuen Stufen beim Eingang; keine rollstuhlgängige Toilette";+41712223464;;;9000
47.42697213667656,9.386654971646513;"{""coordinates"": [9.386654971646513, 47.42697213667656], ""type"": ""Point""}";;Religiöse Bauten;Kirche evang. Linsebühl;;;;;;Flurhofstrasse 1;St.Gallen;Schweiz;;;;;;;9000
47.43876162265927,9.37697269652249;"{""coordinates"": [9.37697269652249, 47.43876162265927], ""type"": ""Point""}";hindernisfrei;Religiöse Bauten;Kirche evang. Rotmonten;;;;;;Berghaldenplatz 4;St.Gallen;Schweiz;;;hindernisfreie Toilette;+41712447488;;;9010
47.416318245326565,9.38272952329561;"{""coordinates"": [9.38272952329561, 47.416318245326565], ""type"": ""Point""}";bedingt behindertengerecht;Religiöse Bauten;Kirche kath. St. Georgen;;;;;;St.Georgen-Strasse 89;St.Gallen;Schweiz;;;keine rollstuhlgängige Toilette;;;;9011
47.43997849281445,9.40319972321475;"{""coordinates"": [9.40319972321475, 47.43997849281445], ""type"": ""Point""}";bedingt behindertengerecht;Religiöse Bauten;Kirchgemeindehaus Stephanshorn (evang.);;;;;;Stephanshornstrasse 25;St.Gallen;Schweiz;;;Zugang mit Treppenlift, hindernisfreie Toilette;+41712884298;;;9016
47.41982376024815,9.367539990888787;"{""coordinates"": [9.367539990888787, 47.41982376024815], ""type"": ""Point""}";bedingt behindertengerecht;Kulturelles;Frauenbibliothek Wyborada;;;;;;Davidstrasse 42;St.Gallen;Schweiz;;101 öffentliche Parkplätze;Es gibt eine Rampe um in das Haus zu gelangen, allerdings ist der Durchgang zur Rampe nicht immer geöffnet.;+41712226515;;;9000
47.42686112844241,9.38061913879319;"{""coordinates"": [9.38061913879319, 47.42686112844241], ""type"": ""Point""}";hindernisfrei;Kulturelles;Theater St.Gallen;;;;;;Museumstrasse 24;St.Gallen;Schweiz;;;;+41712420505;;;9004
47.428827706203776,9.383151124365485;"{""coordinates"": [9.383151124365485, 47.428827706203776], ""type"": ""Point""}";bedingt behindertengerecht;Kulturelles;Völkerkundemuseum;;;;;;Museumstrasse 50;St.Gallen;Schweiz;;;Lift ist vorhanden, kann jedoch nur vom Museumspersonal bedient werden, d.h. es muss immer eine Aufsichtsperson dabei sein. WC ist rollstuhlgerecht. Nach der Sanierung wird es einige Änderungen geben,;+41712420643;;;9000
47.423396871694976,9.37361154497287;"{""coordinates"": [9.37361154497287, 47.423396871694976], ""type"": ""Point""}";bedingt behindertengerecht;Kulturelles;Textilmusuem;;;;;;Vadianstrasse 2;St.Gallen;Schweiz;;;Voranmeldung notwendig, da Zugang zum Lift in einem separaten Eingang ist. Lift für normal grosse Rollstühle geeignet;+41712221744;;;9000
47.42545702319039,9.37577578175226;"{""coordinates"": [9.37577578175226, 47.42545702319039], ""type"": ""Point""}";hindernisfrei;Stadtverwaltung;Baudokumentation;;Amtshaus;;;;Neugasse 1;St.Gallen;Schweiz;;;Lift mit Sprachausgabe. Personen mit Rollstuhl bitte Eingang Marktgasse benutzen. WC hindernisfrei;+41712245577;;;9004
47.4200954156184,9.367173686025815;"{""coordinates"": [9.367173686025815, 47.4200954156184], ""type"": ""Point""}";;Stadtverwaltung;Blaue Zone (EBZ);;;;;;Vadianstrasse 57;St.Gallen;Schweiz;;;;+41712246052;;;9001
47.423928203993334,9.370707343552873;"{""coordinates"": [9.370707343552873, 47.423928203993334], ""type"": ""Point""}";hindernisfrei;Stadtverwaltung;Bevölkerungsdienste;;Rathaus;;;;Poststrasse 28;St.Gallen;Schweiz;;;"Lift mit Sprachausgabe;hindernisfreie Toilette";+41712245121;;;9001
47.42395696137776,9.370761001200247;"{""coordinates"": [9.370761001200247, 47.42395696137776], ""type"": ""Point""}";;Stadtverwaltung;Finanzen;;Rathaus;;;;Poststrasse 28;St.Gallen;Schweiz;;;;+41712245367;;;9001
47.426318758149115,9.377350022282506;"{""coordinates"": [9.377350022282506, 47.426318758149115], ""type"": ""Point""}";hindernisfrei;Stadtverwaltung;Parlamentssaal;;Waaghaus;;;;Bohl 14;St.Gallen;Schweiz;;;Treppenlift, keine hindernisfreie Toilette;;;;9000
47.42545702319039,9.37577578175226;"{""coordinates"": [9.37577578175226, 47.42545702319039], ""type"": ""Point""}";hindernisfrei;Stadtverwaltung;Grundbuchamt;;Amtshaus;;;;Neugasse 1;St.Gallen;Schweiz;;;Lift mit Sprachausgabe. Personen mit Rollstuhl bitte Eingang Marktgasse benutzen. WC hindernisfrei;+41712245351;;;9004
47.42715458748937,9.377689212867477;"{""coordinates"": [9.377689212867477, 47.42715458748937], ""type"": ""Point""}";nicht behindertengerecht;Stadtverwaltung;Kinder Jugend Familie;;;;;;Schwertgasse 14;St.Gallen;Schweiz;;;;+41712245678;;;9000
47.432188212489535,9.357753445445558;"{""coordinates"": [9.357753445445558, 47.432188212489535], ""type"": ""Point""}";;Stadtverwaltung;ARA Hätterenwald;;;;;;Hätterenstrasse;St.Gallen;Schweiz;;;;+41712782513;;;9000
47.42310631647759,9.373107596490504;"{""coordinates"": [9.373107596490504, 47.42310631647759], ""type"": ""Point""}";nicht behindertengerecht;Stadtverwaltung;St.Galler Stadtwerke Marketing und Kommunikation;;;;;;Vadianstrasse 6;St.Gallen;Schweiz;;;;+41848747903;;;9001
47.42395696137776,9.370761001200247;"{""coordinates"": [9.370761001200247, 47.42395696137776], ""type"": ""Point""}";hindernisfrei;Stadtverwaltung;Rathaus;;;;;;Poststrasse 28;St.Gallen;Schweiz;;;"Lift mit Sprachausgabe; hindernisfreie Toilette";+41712245121;;;9001
47.42322914992148,9.372810378436673;"{""coordinates"": [9.372810378436673, 47.42322914992148], ""type"": ""Point""}";nicht behindertengerecht;Stadtverwaltung;St.Galler Stadtwerke Wasser;;;;;;St.Leonhard-Strasse 15;St.Gallen;Schweiz;;;;+41712245538;;;9001
47.42395696137776,9.370761001200247;"{""coordinates"": [9.370761001200247, 47.42395696137776], ""type"": ""Point""}";hindernisfrei;Stadtverwaltung;Steueramt;;Rathaus;;;;Poststrasse 28;St.Gallen;Schweiz;;;"Lift mit Sprachausgabe; hindernisfreie Toilette";+41(0)712245400;;;9001
47.42545702319039,9.37577578175226;"{""coordinates"": [9.37577578175226, 47.42545702319039], ""type"": ""Point""}";hindernisfrei;Stadtverwaltung;Tiefbauamt;;Amtshaus;;;;Neugasse 1;St.Gallen;Schweiz;;;Lift mit Sprachausgabe. Personen mit Rollstuhl bitte Eingang Marktgasse benutzen. WC hindernisfrei;+41712245599;;;9004
47.42395696137776,9.370761001200247;"{""coordinates"": [9.370761001200247, 47.42395696137776], ""type"": ""Point""}";;Stadtverwaltung;Standortförderung;;Rathaus;;;;Poststrasse 28;St.Gallen;Schweiz;;;;+41712244747;;;9001
47.41864590361637,9.347762746447273;"{""coordinates"": [9.347762746447273, 47.41864590361637], ""type"": ""Point""}";;Stadtverwaltung;Zivilschutz;;;;;;Sömmerliwaldstrasse 7;St.Gallen;Schweiz;;;;+41712246950;;;9013
47.436789279189824,9.406074686560684;"{""coordinates"": [9.406074686560684, 47.436789279189824], ""type"": ""Point""}";;Restaurant;Schwyter Neudorf;;Café Restaurant;;;;Martinsbruggstrasse 5;St.Gallen;Schweiz;;;;;;;9016
47.41822852483679,9.35952700206616;"{""coordinates"": [9.35952700206616, 47.41822852483679], ""type"": ""Point""}";;Kantonale Verwaltung;Wehrpflichtersatz St.Gallen;;;;;;Burgstrasse 50;St.Gallen;Schweiz;;;;+41582297111;;;9000
47.41931934919906,9.366940756310392;"{""coordinates"": [9.366940756310392, 47.41931934919906], ""type"": ""Point""}";;Kantonale Verwaltung;Steueramt (kantonales);;Postfach 1245;;;;Davidstrasse 41;St.Gallen;Schweiz;;;;+41582294121;;;9000
47.41916469482132,9.367531498870022;"{""coordinates"": [9.367531498870022, 47.41916469482132], ""type"": ""Point""}";;Kantonale Verwaltung;Verwaltungsrekurskommission;;;;;;Unterstrasse 28;St.Gallen;Schweiz;;;;+41582294049;;;9000
